
x		y		z		Real x		Real y		hex
76		0		98		0		0		0xffffff
77		0		84		0		0		0xffffff
78		0		101		0		0		0xffffff
79		0		81		0		0		0xffffff
80		0		104		0		0		0xffffff
81		0		100		0		0		0xffffff
82		0		101		0		0		0xffffff
83		0		93		0		0		0xffffff
84		0		73		0		0		0xffffff
85		0		95		0		0		0xffffff
86		0		77		0		0		0xffffff
87		0		66		0		0		0x802020
88		0		93		0		0		0xffffff
89		0		106		0		0		0xffffff
90		0		89		0		0		0xffffff
91		0		79		0		0		0xffffff
92		0		94		0		0		0xffffff
93		0		72		0		0		0xffffff
94		0		77		0		0		0xffffff
95		0		107		0		0		0xffffff
96		0		128		0		0		0xffffff
97		0		116		0		0		0xffffff
98		0		105		0		0		0xffffff
99		0		89		0		0		0xffffff
100		0		78		0		0		0xffffff
101		0		67		0		0		0x802020
102		0		75		0		0		0xffffff
103		0		94		0		0		0xffffff
104		0		105		0		0		0xffffff
105		0		119		0		0		0xffffff
106		0		101		0		0		0xffffff
107		0		111		0		0		0xffffff
108		0		111		0		0		0xffffff
109		0		102		0		0		0xffffff
110		0		121		0		0		0xffffff
111		0		136		0		0		0xffffff
112		0		118		0		0		0xffffff
113		0		127		0		0		0xffffff
114		0		97		0		0		0xffffff
115		0		92		0		0		0xffffff
116		0		108		0		0		0xffffff
117		0		113		0		0		0xffffff
118		0		100		0		0		0xffffff
119		0		88		0		0		0xffffff
120		0		88		0		0		0xffffff
121		0		101		0		0		0xffffff
122		0		97		0		0		0xffffff
123		0		105		0		0		0xffffff
124		0		106		0		0		0xffffff
125		0		114		0		0		0xffffff
126		0		137		0		0		0xffffff
127		0		129		0		0		0xffffff
128		0		136		0		0		0xffffff
129		0		141		0		0		0xffffff
130		0		142		0		0		0xffffff
131		0		161		0		0		0xffffff
132		0		142		0		0		0xffffff
133		0		131		0		0		0xffffff
134		0		156		0		0		0xffffff
135		0		136		0		0		0xffffff
136		0		109		0		0		0xffffff
137		0		111		0		0		0xffffff
138		0		124		0		0		0xffffff
139		0		153		0		0		0xffffff
140		0		152		0		0		0xffffff
141		0		142		0		0		0xffffff
142		0		144		0		0		0xffffff
143		0		142		0		0		0xffffff
144		0		155		0		0		0xffffff
145		0		158		0		0		0xffffff
146		0		144		0		0		0xffffff
147		0		129		0		0		0xffffff
148		0		145		0		0		0xffffff
149		0		140		0		0		0xffffff
150		0		172		0		0		0xffffff
151		0		146		0		0		0xffffff
152		0		121		0		0		0xffffff
153		0		133		0		0		0xffffff
154		0		163		0		0		0xffffff
155		0		165		0		0		0xffffff
156		0		148		0		0		0xffffff
157		0		125		0		0		0xffffff
158		0		135		0		0		0xffffff
159		0		161		0		0		0xffffff
160		0		165		0		0		0xffffff
161		0		136		0		0		0xffffff
162		0		145		0		0		0xffffff
163		0		176		0		0		0xffffff
164		0		151		0		0		0xffffff
165		0		186		0		0		0xffffff
166		0		175		0		0		0xffffff
167		0		162		0		0		0xffffff
168		0		157		0		0		0xffffff
169		0		164		0		0		0xffffff
170		0		154		0		0		0xffffff
171		0		177		0		0		0xffffff
172		0		200		0		0		0xffffff
173		0		189		0		0		0xffffff
174		0		182		0		0		0xffffff
175		0		165		0		0		0xffffff
176		0		163		0		0		0xffffff
177		0		176		0		0		0xffffff
178		0		176		0		0		0xffffff
179		0		209		0		0		0xffffff
180		0		210		0		0		0xffffff
181		0		192		0		0		0xffffff
182		0		155		0		0		0xffffff
183		0		168		0		0		0xffffff
184		0		175		0		0		0xffffff
185		0		185		0		0		0xffffff
186		0		187		0		0		0xffffff
187		0		166		0		0		0xffffff
188		0		183		0		0		0xffffff
189		0		208		0		0		0xffffff
190		0		193		0		0		0xffffff
191		0		199		0		0		0xffffff
192		0		161		0		0		0xffffff
193		0		166		0		0		0xffffff
194		0		172		0		0		0xffffff
195		0		188		0		0		0xffffff
196		0		185		0		0		0xffffff
197		0		179		0		0		0xffffff
198		0		194		0		0		0xffffff
199		0		200		0		0		0xffffff
0		1		1		0		0		0xff0000
1		1		0		0		0		0xff0000
2		1		2		0		0		0xff0000
3		1		2		0		0		0xff0000
4		1		3		0		0		0xff0000
5		1		3		0		0		0xff0000
6		1		3		0		0		0xff0000
7		1		3		0		0		0xff0000
8		1		5		0		0		0xff0000
9		1		10		0		0		0xff0000
10		1		11		0		0		0xff0000
11		1		13		0		0		0xff0000
12		1		14		0		0		0xff0000
13		1		13		0		0		0xff0000
14		1		18		0		0		0xff0000
15		1		13		0		0		0xff0000
16		1		12		0		0		0xff0000
17		1		13		0		0		0xff0000
18		1		17		0		0		0xff0000
19		1		19		0		0		0xff0000
20		1		18		0		0		0xff0000
21		1		22		0		0		0xff0000
22		1		21		0		0		0xff0000
23		1		26		0		0		0xff0000
24		1		24		0		0		0xff0000
25		1		24		0		0		0xff0000
26		1		23		0		0		0xff0000
27		1		24		0		0		0xff0000
28		1		26		0		0		0xff0000
29		1		31		0		0		0xff0000
30		1		29		0		0		0xff0000
31		1		27		0		0		0xff0000
32		1		32		0		0		0xff0000
